"","station","long","lat","ExCode","address","market store","adj_subway","school","cafe","academy","cultural facility","attraction","bank","hospital","bus_station"
"153","망원","126.910052","37.556094","621","서울특별시 마포구 월드컵로 지하 77",0,1,2,177,70,6,1,19,63,34
"154","상수","126.922852","37.547716","623","서울특별시 마포구 독막로 지하 85",1,1,2,368,57,26,4,13,11,26
"155","광흥창","126.931993","37.547456","624","서울특별시 마포구 독막로 지하 165",2,1,4,36,48,4,0,10,20,48
"156","대흥","126.942069","37.547771","625","서울특별시 마포구 대흥로 지하 85",1,1,5,82,99,6,1,20,17,30
"157","효창공원앞","126.961351","37.539261","627","서울특별시 용산구 백범로 지하 287",0,2,5,45,51,2,0,17,33,35
"158","녹사평","126.986695","37.534675","629","서울특별시 용산구 녹사평대로 지하 195",0,1,1,118,6,6,1,14,5,12
"159","이태원","126.994302","37.534488","630","서울특별시 용산구 이태원로 지하 177",0,1,1,141,13,9,4,20,14,22
"160","한강진","127.001725","37.539631","631","서울특별시 용산구 이태원로 지하 287",0,1,1,91,7,19,3,8,4,9
"161","버티고개","127.007055","37.548013","632","서울특별시 중구 다산로 지하 38",2,1,1,5,11,1,1,7,8,6
"162","창신","127.015241","37.579661","637","서울특별시 종로구 지봉로 지하 112",1,1,5,18,27,2,2,6,7,20
"163","보문","127.019381","37.585286","638","서울특별시 성북구 보문로 지하 116",0,2,4,61,34,0,0,11,26,27
"164","안암","127.029005","37.586272","639","서울특별시 성북구 인촌로 지하 89",0,1,4,102,33,1,0,38,16,17
"165","고려대","127.036296","37.590508","640","서울특별시 성북구 종암로 지하 1",0,1,3,51,17,1,0,15,4,23
"166","월곡","127.041518","37.601948","641","서울특별시 성북구 월곡로 지하 107",1,1,1,50,40,0,0,17,26,23
"167","상월곡","127.048491","37.606377","642","서울특별시 성북구 화랑로 지하 157",0,1,2,17,31,1,1,8,7,22
"168","돌곶이","127.056431","37.610537","643","서울특별시 성북구 화랑로 지하 243",1,1,2,32,30,0,0,17,31,18
"169","태릉입구","127.07512","37.617983","645","서울특별시 노원구 동일로 지하 992-1",0,2,1,54,32,1,4,14,37,38
"170","화랑대","127.084689","37.620064","646","서울특별시 노원구 화랑로 지하 510",1,1,5,26,46,1,0,2,10,20
"171","봉화산","127.091401","37.617283","647","서울특별시 중랑구 신내로 지하 232",1,1,3,9,16,0,0,9,15,20
"173","수락산","127.055315","37.67785","711","서울특별시 노원구 동일로 지하 1662",1,1,1,42,28,2,3,11,28,18
"174","마들","127.057675","37.66494","712","서울특별시 노원구 동일로 지하 1530-1",2,1,7,13,66,0,1,12,41,31
"175","중계","127.064303","37.644583","714","서울특별시 노원구 동일로 지하 1308-1",3,1,5,15,35,1,1,12,21,29
"176","하계","127.06799","37.636352","715","서울특별시 노원구 동일로 지하 1196",3,1,4,31,43,4,0,19,31,38
"177","공릉","127.072896","37.625742","716","서울특별시 노원구 동일로 지하 1074",1,1,1,56,47,1,1,14,41,36
"178","먹골","127.077725","37.610637","718","서울특별시 중랑구 동일로 지하 901",1,1,2,37,49,0,0,15,33,22
"179","중화","127.079264","37.602545","719","서울특별시 중랑구 동일로 지하 797",3,1,5,43,68,0,0,12,34,30
"180","상봉","127.085032","37.596362","720","서울특별시 중랑구 망우로 297",3,3,1,46,33,0,0,20,35,16
"181","면목","127.087503","37.588579","721","서울특별시 중랑구 면목로 지하 407",0,1,2,30,50,0,1,11,42,23
"182","사가정","127.088478","37.580894","722","서울특별시 중랑구 사가정로 지하 393",2,1,1,56,67,0,0,20,70,25
"183","용마산","127.086727","37.573647","723","서울특별시 중랑구 용마산로 지하 227",1,1,3,13,42,3,0,4,10,13
"184","중곡","127.08432","37.565923","724","서울특별시 광진구 능동로 지하 417",1,1,5,52,77,0,0,15,45,29
"185","어린이대공원","127.074658","37.548014","726","서울특별시 광진구 능동로 지하 210",0,1,2,99,29,9,2,21,21,13
"186","뚝섬유원지","127.066704","37.53154","728","서울특별시 광진구 능동로 10",0,1,2,34,46,3,2,3,18,8
"187","청담","127.05335","37.519365","729","서울특별시 강남구 학동로 지하 508",0,1,1,41,49,3,0,23,74,15
"188","강남구청","127.04128","37.517186","730","서울특별시 강남구 학동로 지하 346",1,2,2,128,92,3,0,25,91,14
"189","학동","127.031656","37.514229","731","서울특별시 강남구 학동로 지하 180",2,1,0,104,41,12,0,27,47,14
"190","논현","127.021415","37.511093","732","서울특별시 강남구 학동로 지하 102",2,1,0,151,101,5,2,36,134,15
"191","반포","127.011727","37.508178","733","서울특별시 서초구 신반포로 지하 241",3,1,3,29,41,1,0,26,44,14
"192","내방","126.993513","37.487618","735","서울특별시 서초구 서초대로 지하 103",0,1,1,97,74,3,0,13,43,26
"193","남성","126.971251","37.484596","737","서울특별시 동작구 사당로 지하 218",2,1,2,46,56,2,0,9,39,29
"194","숭실대입구","126.953822","37.496029","738","서울특별시 동작구 상도로 지하 378",1,1,2,44,33,2,0,12,20,11
"195","상도","126.94791","37.502834","739","서울특별시 동작구 상도로 지하 272",2,1,1,39,62,0,0,9,23,31
"196","장승배기","126.93915","37.504898","740","서울특별시 동작구 상도로 지하 188",2,1,1,40,60,2,0,19,46,36
"197","신대방삼거리","126.928276","37.499701","741","서울특별시 동작구 상도로 지하 76",4,1,2,46,57,0,0,18,71,34
"198","보라매","126.920428","37.499872","742","서울특별시 동작구 상도로 지하 2",0,1,5,48,39,1,0,10,29,33
"199","신풍","126.90993","37.50008","743","서울특별시 영등포구 신풍로 지하 27",1,1,3,16,25,0,0,9,23,26
"200","남구로","126.887249","37.486056","745","서울특별시 구로구 도림로 지하 7",0,1,2,51,32,2,2,18,28,19
"203","천왕","126.838713","37.486637","749","서울특별시 구로구 오리로 지하 1154",2,1,4,6,12,0,0,2,10,25
"213","암사","127.127562","37.55021","810","서울특별시 강동구 올림픽로 지하 776",0,1,3,50,75,0,0,11,56,14
"214","강동구청","127.120508","37.530341","812","서울특별시 강동구 올림픽로 지하 550",2,1,4,70,49,3,1,17,33,27
"215","몽촌토성","127.112359","37.517409","813","서울특별시 송파구 올림픽로 지하 383",1,2,2,38,29,5,3,19,23,14
"216","석촌","127.106979","37.505431","815","서울특별시 송파구 송파대로 지하 439",0,2,2,98,119,2,1,22,67,12
"217","송파","127.112183","37.499703","816","서울특별시 송파구 송파대로 지하 354",0,1,4,41,82,3,0,12,56,14
"218","문정","127.1225","37.485855","818","서울특별시 송파구 송파대로 지하 179",2,1,2,149,39,1,1,16,52,10
"219","장지","127.126191","37.478703","819","서울특별시 송파구 송파대로 지하 82",2,1,2,72,23,8,2,15,29,17
"220","복정","127.126662","37.470047","820","서울특별시 송파구 송파대로 지하 6",0,2,0,2,1,0,0,3,0,10
"227","둔촌동","127.136248","37.527788","P549","서울특별시 강동구 양재대로 지하 1369",1,1,3,60,102,0,0,14,62,15
"228","올림픽공원","127.130848","37.516078","P550","서울특별시 송파구 양재대로 지하 1233",1,2,2,13,4,4,1,14,13,8
"229","방이","127.126133","37.508857","P551","서울특별시 송파구 양재대로 지하 1127",2,1,5,79,221,1,1,17,37,12
"230","개롱","127.13482","37.498079","P553","서울특별시 송파구 오금로 지하 402",1,1,6,43,79,0,0,12,41,14
"231","거여","127.14415","37.493105","P554","서울특별시 송파구 오금로 지하 499",1,1,1,37,64,2,0,10,40,12
"232","마천","127.152781","37.49499","P555","서울특별시 송파구 마천로57길 지하 7",0,1,1,18,24,0,0,8,21,16
"233","용답","127.050899","37.561904","211-1","서울특별시 성동구 용답길 86",0,1,4,21,27,0,1,10,18,10
"234","신답","127.046481","37.57004","211-2","서울특별시 성동구 천호대로 232",0,1,4,15,29,0,3,14,15,26
"235","용두","127.038091","37.574028","211-3","서울특별시 동대문구 천호대로 지하 129",1,1,1,25,16,1,1,16,26,16
"236","도림천","126.882768","37.514287","234-1","서울특별시 구로구 경인로67길 160",0,1,3,11,25,0,0,4,4,17
"237","양천구청","126.865819","37.512398","234-2","서울특별시 양천구 목동로3길 지하 33",3,1,2,10,48,2,0,10,23,19
"238","신정네거리","126.852912","37.520074","234-3","서울특별시 양천구 중앙로 지하 261",3,1,1,34,40,1,0,13,59,20
"239","역촌","126.922744","37.606021","611","서울특별시 은평구 서오릉로 지하 63",2,1,1,48,45,0,0,6,19,31
"240","독바위","126.933031","37.618456","613","서울특별시 은평구 불광로 지하 129-1",2,1,3,18,27,2,0,3,2,16
"241","구산","126.91727","37.611377","615","서울특별시 은평구 연서로 지하 137-1",2,1,4,44,132,0,0,12,51,30
